cnty_fips,cnty_name,state_name,median_household_income,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol
02013,Aleutians East,AK,79000,34.1,5.9,3.1,31.2
02016,Aleutians West,AK,92000,30.3,4.6,2.3,30.3
02020,Anchorage,AK,85000,28.8,4.9,2.5,29.4
02050,Bethel,AK,52000,36.2,8.1,5.1,28.7
02060,Bristol Bay,AK,87000,33.6,7.5,3.7,32.3
02068,Denali,AK,80000,30.9,5.7,2.7,30.9
02070,Dillingham,AK,72000,35.1,7.7,4.5,29.3
02090,Fairbanks North Star,AK,77000,28,4.7,2.3,27.5
02100,Haines,AK,105000,36.7,8.2,3.8,34.5
02105,Hoonah-Angoon,AK,56000,40.9,9.7,4.7,35.8
02110,Juneau,AK,89000,29.7,5.5,2.6,31.3
02122,Kenai Peninsula,AK,68000,35.9,7.4,3.4,34
02130,Ketchikan Gateway,AK,77000,33.7,6.5,3.1,31.4
02150,Kodiak Island,AK,72000,28.9,5.1,2.5,30
02164,Lake and Peninsula,AK,54000,37.5,7.7,4.3,31.7
02170,Matanuska-Susitna,AK,90000,32.1,5.9,2.8,31.9
02180,Nome,AK,64000,33.8,7.4,4.3,28.8
02185,North Slope,AK,95000,32.3,6.1,3.2,29.6
02188,Northwest Arctic,AK,65000,34.9,7.7,4.5,28.8
02195,Petersburg,AK,66000,33.9,7.1,3.3,34.8
02198,Prince of Wales-Hyder,AK,54000,39.6,9.3,4.7,35
02220,Sitka,AK,79000,32.2,6.2,2.9,31.1
02230,Skagway,AK,78000,31,5.7,2.7,30.8
02240,Southeast Fairbanks,AK,65000,33.3,6.9,3.3,33.5
02158,Kusilvak,AK,38000,39.1,9.1,6,28.4
02275,Wrangell,AK,65000,39.4,9.2,4.3,37.3
02282,Yakutat,AK,68000,38.5,8.6,4.3,34
02290,Yukon-Koyukuk,AK,43000,38.9,9.8,5.5,32.4
06001,Alameda,CA,114000,25.7,4.8,2.4,28.8
06005,Amador,CA,68000,34.4,8.6,3.8,35.2
06007,Butte,CA,55000,29.3,7,3.3,29.9
06009,Calaveras,CA,66000,35.8,9.2,4.1,36.1
06011,Colusa,CA,59000,28,7,3.3,29.8
06013,Contra Costa,CA,106000,26.5,5.5,2.7,29.2
06015,Del Norte,CA,47000,32.8,8.2,4,32.5
06017,El Dorado,CA,88000,30.5,7.2,3.1,32.9
06021,Glenn,CA,58000,29.4,7.6,3.6,30.9
06023,Humboldt,CA,56000,30,7.4,3.5,30.2
06031,Kings,CA,60000,26.7,5.8,2.9,27.7
06033,Lake,CA,52000,35,9.2,4.3,34.1
06035,Lassen,CA,64000,29.1,6.9,3.4,29.6
06041,Marin,CA,128000,27.7,6.4,2.8,31.8
06043,Mariposa,CA,57000,35.4,9.3,4.2,36.8
06045,Mendocino,CA,53000,32.6,8.6,4,31.9
06047,Merced,CA,59000,27.4,6.3,3.2,28.7
06049,Modoc,CA,47000,36.9,10.1,4.6,36.7
06053,Monterey,CA,85000,25.9,6.3,3,27.7
06055,Napa,CA,92000,27.7,6.5,2.9,30.9
06057,Nevada,CA,74000,33.2,8.1,3.5,36.9
06061,Placer,CA,101000,28.1,6.2,2.8,33.1
06063,Plumas,CA,58000,35.9,9.1,4,36.8
06067,Sacramento,CA,73000,27.1,5.8,3,28.5
06069,San Benito,CA,91000,26.3,5.7,2.7,29.1
06075,San Francisco,CA,122000,24.2,4.6,2.2,28
06077,San Joaquin,CA,71000,28.3,6,3.1,30.1
06079,San Luis Obispo,CA,79000,27.7,6.5,2.9,31
06081,San Mateo,CA,132000,25,4.9,2.3,31.3
06083,Santa Barbara,CA,86000,24.7,6.1,2.8,28.2
06085,Santa Clara,CA,139000,23.1,4.4,2.2,26.9
06087,Santa Cruz,CA,93000,25.7,6,2.7,29
06089,Shasta,CA,59000,31.4,7.9,3.7,32.9
06091,Sierra,CA,59000,38.4,9.4,4.1,39.2
06093,Siskiyou,CA,49000,34.9,9.5,4.4,35.9
06095,Solano,CA,84000,27.8,5.8,3,29.5
06097,Sonoma,CA,87000,28,6.6,3,29.8
06099,Stanislaus,CA,65000,28.5,6.3,3.1,30.5
06101,Sutter,CA,66000,29.1,6.8,3.3,31.1
06103,Tehama,CA,62000,34.1,8.6,4.1,32.8
06105,Trinity,CA,45000,38.8,10.8,5,38.1
06109,Tuolumne,CA,63000,35.1,8.4,3.8,35.5
06113,Yolo,CA,81000,24,5.1,2.5,25.5
06115,Yuba,CA,56000,26.9,6.3,3.1,29.5
15001,Hawaii,HI,70000,30.9,7.1,3.8,29.8
15003,Honolulu,HI,90000,30.1,4.9,3,30.7
15007,Kauai,HI,81000,29.7,6.5,3.4,29.1
15009,Maui,HI,81000,27.2,6,3.3,27.3
41003,Benton,OR,66000,24.5,5.3,2.5,26.3
41005,Clackamas,OR,83000,32.1,5.9,2.8,31.2
41007,Clatsop,OR,63000,33.5,7.7,3.6,32.3
41009,Columbia,OR,73000,32.8,7.1,3.4,31.7
41011,Coos,OR,51000,38.7,9.1,4.4,36.4
41013,Crook,OR,69000,37.2,8.4,4,34.3
41015,Curry,OR,48000,39.3,10,4.6,36.8
41017,Deschutes,OR,66000,30.4,6.5,3,32.1
41019,Douglas,OR,52000,35.7,8.8,4.2,35.3
41021,Gilliam,OR,63000,37.3,9.9,4.7,35.6
41027,Hood River,OR,82000,27.7,6.1,2.9,28.2
41029,Jackson,OR,57000,31.3,7.5,3.7,34.2
41031,Jefferson,OR,64000,32.7,7.8,3.9,32
41033,Josephine,OR,48000,36,9.5,4.6,36
41035,Klamath,OR,50000,34.6,8.3,4.2,33.3
41037,Lake,OR,49000,38.4,9.5,4.5,35
41039,Lane,OR,59000,29.3,6.7,3.3,30.4
41041,Lincoln,OR,54000,37.8,9.2,4.3,34.2
41043,Linn,OR,66000,32.7,7.2,3.5,28.7
41047,Marion,OR,65000,30,6.6,3.3,27.2
41051,Multnomah,OR,75000,26.2,4.7,2.5,27
41053,Polk,OR,67000,29.5,6.4,3,28.7
41055,Sherman,OR,62000,35.4,8.7,4,34.4
41057,Tillamook,OR,58000,35.2,8.4,3.9,33.3
41065,Wasco,OR,56000,31.7,7.6,3.6,31.7
41067,Washington,OR,85000,26.4,4.7,2.4,26.9
41069,Wheeler,OR,43000,42.4,11,5.2,38.4
41071,Yamhill,OR,68000,29,6.6,3.1,29.9
53007,Chelan,WA,62000,29.7,7.5,3.4,31.7
53009,Clallam,WA,55000,37.5,9.1,4.2,36.7
53011,Clark,WA,77000,30,6.1,2.8,30.5
53015,Cowlitz,WA,64000,35.4,7.8,3.6,34
53027,Grays Harbor,WA,54000,37.1,8.7,4,37.5
53029,Island,WA,77000,32.7,7.3,3.2,33.1
53031,Jefferson,WA,66000,38.1,9.5,4.1,38.4
53033,King,WA,103000,26,4.4,2.2,29.1
